,id,fid,name,last_name,first_name,nickname,dob,dod,weight_class,last_weightIn,height,reach,birth_loc,current_loc,current_streak,last_fight,affiliation,win,lose,draw,nc,biography
26,211689971646472590817741249298375020092,81052,Шавкат Рахмонов,Рахмонов,Шавкат,Nomad,1994-10-23,,Welterweight,170.5 lbs,185,196,Uzbekistan,"Kokshetau, Kazakhstan",12 Wins,"June 25, 2022",,16,0,0,0,/fightcenter/fighters/81052-shavkat-rakhmonov
27,216872808630769263675534694371620480966,16456,Neil Magny,Magny,Neil,Haitian Sensation,1987-08-03,,Welterweight,171.0 lbs,191,203,United States,"Dolton, Illinois",1 Loss,"June 25, 2022",Elevation Fight Team,26,9,0,0,/fightcenter/fighters/16456-aoutneil-magny
28,161827573762163010356379671205035484776,86139,Joshua Wayne Parisian,Wayne Parisian,Joshua,N/A,1989-06-28,,Heavyweight,265.5 lbs,193,201,"Martinsburg, West Virginia, United States","Brighton, Michigan",1 Win,"June 25, 2022",Scorpion Fighting System,15,5,0,0,/fightcenter/fighters/86139-josh-parisian
29,27588879347962610259020285886930505673,50336,Alan Baudot,Baudot,Alan,The Black Samourai,1988-02-01,,Heavyweight,253.0 lbs,191,201,"Lyon, France","Paris, France",3 Losses,"June 25, 2022",MMA Factory,8,4,0,1,/fightcenter/fighters/50336-alan-baudot
30,155643984006265412693846555904687594180,49744,Thiago Henrique Moisés,Henrique Moisés,Thiago,N/A,1995-03-23,,Lightweight,155.5 lbs,175,179,"Idaiatuba, Sao Paulo, Brazil","Indaiatuba, Sao Paulo, Brazil",1 Win,"June 25, 2022",American Top Team,16,6,0,0,/fightcenter/fighters/49744-thiago-moiss
31,176049872625678567600403570350556511339,38606,Christos Giagos,Giagos,Christos,The Spartan,1990-01-23,,Lightweight,156.0 lbs,178,182,"Azusos, California, United States","Hawthorne, California",2 Losses,"June 25, 2022",Black House MMA,19,10,0,0,/fightcenter/fighters/38606-christos-giagos-the-spartan
32,299535703018266280429495097043704807088,134206,Нурмагомедов Омар,Омар,Нурмагомедов,N/A,1996-03-01,,Bantamweight,136.0 lbs,172,175,Russia,"Chelyabinsk, Russia",16 Wins,"June 25, 2022",,15,0,0,0,/fightcenter/fighters/134206-omar-nurmagomedov
33,228120844421279927926218954227467640188,41826,Joseph Nathan Maness,Nathan Maness,Joseph,Mayhem,1991-06-27,,Bantamweight,135.0 lbs,178,183,United States,"Henderson, Kentucky",1 Loss,"June 25, 2022",Nice Guy Submission Fighting,14,2,0,0,/fightcenter/fighters/41826-nathan-maness
34,306608593837083593704314916534913611809,14863,Christopher Curtis,Curtis,Christopher,The Action Man,1987-07-15,,Middleweight,185.5 lbs,178,191,"Cincinnati, Ohio","Las Vegas, Nevada",8 Wins,"June 25, 2022",,29,8,0,0,/fightcenter/fighters/14863-christopher-curtis-the-action-man
35,120227054374648930924817910661464833116,148791,Rodolfo Vieira Srour,Vieira Srour,Rodolfo,The Black Belt Hunter,1989-09-25,,Middleweight,185.0 lbs,183,185,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil",1 Loss,"June 25, 2022",Grappling Fight Team,8,2,0,0,/fightcenter/fighters/148791-rodolfo-vieira-srour-the-black-belt-hunter
36,282904243915334170862052653872922192965,68337,Cody Durden,Durden,Cody,N/A,1991-03-29,,Flyweight,126.0 lbs,170,170,"Covington, Georgia","Atlanta, Georgia",1 Win,"June 25, 2022",American Top Team Atlanta,13,4,1,0,/fightcenter/fighters/68337-cody-durden
37,260154877203603314585186939806205118285,83711,JP Buys,Buys,JP,Young Savage,1996-04-30,,Flyweight,126.0 lbs,165,170,"Brakpan, Gauteng, South Africa","Las Vegas, Nevada",3 Losses,"June 25, 2022",Xtreme Couture,9,5,0,0,/fightcenter/fighters/83711-jp-buys
38,34108623131791011062914233945811591892,33428,Mario Bautista,Bautista,Mario,N/A,1993-07-01,,Bantamweight,135.5 lbs,175,175,United States,"Glendale, Arizona",2 Wins,"June 25, 2022",MMA Lab,10,2,0,0,/fightcenter/fighters/33428-mario-bautista
39,149874336392771564628945647506310806509,13751,Brian Kelleher,Kelleher,Brian,Boom,1986-08-19,,Bantamweight,135.5 lbs,167,163,"Oceanside, New York, United States","Selden, New York",2 Losses,"June 25, 2022",Long Island MMA,24,14,0,0,/fightcenter/fighters/13751-Brian-Kelleher
40,330791247959954052110120891557613139932,35907,Crystal Vanessa Demopoulos,Vanessa Demopoulos,Crystal,Lil Monster,1988-09-22,,Strawweight,115.5 lbs,157,157,"Columbus, Ohio, United States","Los Angeles, California",2 Wins,"June 25, 2022",,8,4,0,0,/fightcenter/fighters/35907-vanessa-demopoulos
41,295407473996167329765259224424102766348,32655,Jinh Yu Frey,Yu Frey,Jinh,N/A,1985-05-20,,Strawweight,115.5 lbs,160,165,"Arkansas, United States","Arlington, Texas",1 Loss,"June 25, 2022",Frey MMA,11,7,0,0,/fightcenter/fighters/32655-jinh-yu
42,240067116988588853936865556792168639838,23634,Colby Covington,Covington,Colby,Chaos,1988-02-22,,Welterweight,170.5 lbs,180,183,United States,"Fort Lauderdale, Florida",1 Win,"March 05, 2022",MMA MASTERS,17,3,0,0,/fightcenter/fighters/23634-colby-covington
43,134103310053389464477572489725136222880,536,Jorge Masvidal,Masvidal,Jorge,Gamebred,1984-11-12,,Welterweight,170.5 lbs,180,188,"Miami, Florida, United States","Miami, Florida",3 Losses,"March 05, 2022",American Top Team,35,16,0,0,/fightcenter/fighters/jorge-masvidal-gamebred
44,242221670630186380983345474233301076727,40,Rafael Souza dos Anjos,Souza dos Anjos,Rafael,N/A,1984-10-26,,Lightweight,160.0 lbs,173,178,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",2 Wins,"March 05, 2022",Kings MMA,31,13,0,0,/fightcenter/fighters/rafael-dos-anjos
45,179162246312226880065156365055437604473,16950,Renato Carneiro,Carneiro,Renato,N/A,1989-05-21,,Lightweight,160.0 lbs,181,183,Brazil,"Brasilia, Federal District, Brazil",1 Loss,"March 05, 2022",Constrictor Team,16,5,1,0,/fightcenter/fighters/16950-renato-carneiro-moicano
46,328125184554170841710838509424263685563,59676,Bryce Andrew Mitchell,Andrew Mitchell,Bryce,Thug Nasty,1994-10-04,,Featherweight,145.5 lbs,178,178,"Cabot, Arkansas","Searcy, Arkansas",6 Wins,"March 05, 2022",Barata MMA,15,0,0,0,/fightcenter/fighters/59676-bryce-mitchell
47,329474494334355568550255201994806579740,8384,Edson Mendes Barboza,Mendes Barboza,Edson,Junior,1986-01-21,,Featherweight,145.5 lbs,181,191,"Nova Friburgo, Rio de Janeiro, Brazil","Jupiter, Florida",2 Losses,"March 05, 2022",American Top Team,22,11,0,0,/fightcenter/fighters/edson-barboza-mendes-junior
48,178751325694766006283203633988328061614,35757,Kevin Holland,Holland,Kevin,Trailblazer,1992-11-05,,Welterweight,170.0 lbs,191,206,United States,"Fort Worth, Texas",2 Wins,"June 18, 2022",Travis Lutter BJJ,23,7,0,1,/fightcenter/fighters/35757-kevin-holland
49,222125281911867190911157401542877570037,45649,Alex Oliveira,Oliveira,Alex,Cowboy,1988-02-21,,Welterweight,170.0 lbs,180,194,Brazil,"Rio de Janeiro, Rio de Janeiro, Brazil",5 Losses,"June 10, 2022",ATS Team,22,13,1,2,/fightcenter/fighters/45649-alex-cowboy
50,315387645267359285996894710593772050810,90068,Сергій Співак,Співак,Сергій,Polar Bear,1995-01-24,,Heavyweight,243.5 lbs,190,198,Ukraine,Moldova,1 Win,"March 05, 2022",,14,3,0,0,/fightcenter/fighters/90068-sergey-spivak
51,131868452819450743419760245706249021847,169557,Gregory Hardy Jr.,Hardy Jr.,Gregory,The Prince of War,1988-07-28,,Heavyweight,266.0 lbs,196,204,United States,"Florida, United States",3 Losses,"March 05, 2022",American Top Team,7,5,0,1,/fightcenter/fighters/169557-greg-hardy
52,24419041526166578974312797420334353459,68396,Jalin Turner,Turner,Jalin,The Tarantula,1995-05-18,,Lightweight,155.5 lbs,191,192,United States,"San Bernardino, California",5 Wins,"July 02, 2022",Carlson Gracie Riverside,13,5,0,0,/fightcenter/fighters/68396-jalin-turner
53,277872481336130618207833266861634736167,51640,Jamie Patrick Mullarkey,Patrick Mullarkey,Jamie,N/A,1994-08-17,,Lightweight,155.5 lbs,183,188,Australia,"Central Coast, New South Wales",1 Loss,"March 05, 2022",Magnus Martial Arts Erina,14,5,0,0,/fightcenter/fighters/51640-jamie-mullarkey
54,326359021846241831700837949596657657140,81799,Marina Alcalde Rodriguez,Alcalde Rodriguez,Marina,N/A,1987-04-29,,Strawweight,116.0 lbs,168,165,"Bage, Rio Grande do Sul, Brazil","Florianopolis, Santa Catarina, Brazil",4 Wins,"March 05, 2022",Thai Brasil Floripa,16,1,2,0,/fightcenter/fighters/81799-marina-rodriguez
55,246958864966132893317270929970854593754,12602,"闫晓楠, Yan Xiaonan",Yan Xiaonan,"闫晓楠,",Nine,1989-06-16,,Strawweight,116.0 lbs,166,160,"Shenyang, Liaoning, China","Sacramento, California, USA",2 Losses,"March 05, 2022",Team Alpha Male,14,3,0,1,/fightcenter/fighters/12602-xiao-nan-yang-fury
56,116218238309205385192812508574530533333,142000,Nicolae Negumereanu,Negumereanu,Nicolae,Nicu,1994-09-04,,Light Heavyweight,205.5 lbs,183,198,"Brașov, Romania","Brașov, Romania",3 Wins,"March 05, 2022",,12,1,0,0,/fightcenter/fighters/142000-nick-negumereanu
57,299330293866818000459252226283165598929,119288,Kennedy Nzechukwu,Nzechukwu,Kennedy,African Savage,1992-06-13,,Light Heavyweight,206.0 lbs,196,211,"Imo State, Nigeria","Dallas, Texas",2 Losses,"March 05, 2022",Fortis MMA,9,3,0,0,/fightcenter/fighters/119288-kennedy-nzechukwu
58,214181284639042180075375606516974498750,73990,Марина Мороз,Мороз,Марина,Iron Lady,1991-09-08,,Flyweight,125.5 lbs,170,170,"Volnogorsk, Ukraine","Volnogorsk, Ukraine",3 Wins,"March 05, 2022",American Top Team,11,3,0,0,/fightcenter/fighters/73990-marina-moroz
59,60472504477403469390251658567830567303,156192,Mariya Agapova,Agapova,Mariya,Demonslayer,1997-04-07,,Flyweight,126.0 lbs,168,173,Kazakhstan,"Coconut Creek, Florida, United States",1 Loss,"March 05, 2022",,10,3,0,0,/fightcenter/fighters/156192-mariya-agapova
60,44321193051309622744038348526692002794,134206,Нурмагомедов Омар,Омар,Нурмагомедов,N/A,1996-03-01,,Bantamweight,136.0 lbs,172,175,Russia,"Chelyabinsk, Russia",16 Wins,"June 25, 2022",,15,0,0,0,/fightcenter/fighters/134206-omar-nurmagomedov
61,169065780351081575137428895533743516438,13751,Brian Kelleher,Kelleher,Brian,Boom,1986-08-19,,Bantamweight,135.5 lbs,167,163,"Oceanside, New York, United States","Selden, New York",2 Losses,"June 25, 2022",Long Island MMA,24,14,0,0,/fightcenter/fighters/13751-Brian-Kelleher
62,18580657536338191185341792635601068747,13664,Timothy Elliott,Elliott,Timothy,N/A,1986-12-24,,Flyweight,126.0 lbs,170,170,"Kansas City, Missouri, United States","Lee's Summit, Missouri",1 Win,"March 05, 2022",Glory MMA and Fitness,18,12,1,0,/fightcenter/fighters/13664-timothy-elliot
63,106445124121534882676560771803709602843,130955,Уланбеков Тагир,Тагир,Уланбеков,N/A,1991-07-08,,Flyweight,125.5 lbs,170,178,"Dagestan, Russia","Makhachkala, Russia",1 Loss,"March 05, 2022",,13,2,0,0,/fightcenter/fighters/130955-tagir-ulanbekov
64,52751627393426137401686966306375673441,102094,Ľudovít Klein,Klein,Ľudovít,Mr. Highlight,1995-02-22,,Lightweight,156.0 lbs,170,183,Slovakia,Slovakia,1 Win,"March 05, 2022",Spartakus Fight Gym,18,4,0,0,/fightcenter/fighters/102094-ludovit-klein
65,160584982662844817573715935749767449354,31601,Devonte Smith,Smith,Devonte,King Kage,1993-07-30,,Lightweight,156.0 lbs,175,193,"Bedford, Ohio, United States","Englewood, Colorado",2 Losses,"March 05, 2022",factoryX Muay Thai,11,4,0,0,/fightcenter/fighters/31601-devonte-smith-johnny-cage
66,106213839672799367606736783753909065862,15069,Dustin Anthony Jacoby,Anthony Jacoby,Dustin,The Hanyak,1988-04-04,,Light Heavyweight,205.5 lbs,191,198,"Fort Morgan, Colorado, United States","Denver, Colorado",7 Wins,"March 05, 2022",factoryX Muay Thai,17,5,1,0,/fightcenter/fighters/15069-dustin-jacoby
67,272620599784588002962911718051623880872,61212,Michał Oleksiejczuk,Oleksiejczuk,Michał,Hussar,1995-02-22,,Light Heavyweight,206.0 lbs,184,188,"Barki, Poland","Barki, Poland",1 Loss,"March 05, 2022",Ankos MMA Poznań,16,5,0,1,/fightcenter/fighters/61212-michal-oleksiejczuk
68,269095137542511963097922658161895655705,40148,Ислам Махачев,Махачев,Ислам,N/A,1991-09-27,,Lightweight,160.0 lbs,178,179,"Dagestan, Russia","Makhachkala, Russia",10 Wins,"February 26, 2022",Fightspirit Team,22,1,0,0,/fightcenter/fighters/40148-islam-makhachev
69,240460878836183043223741326037054601250,620,Bobby Ryan Green,Ryan Green,Bobby,King,1986-09-09,,Lightweight,158.0 lbs,178,180,United States,"Inland Empire, California",1 Loss,"February 26, 2022",Pinnacle MMA,29,13,1,0,/fightcenter/fighters/bobby-green-king
70,70121642281994255409792496029627110714,70129,Wellington Turman,Turman,Wellington,The Prodigy,1996-07-22,,Middleweight,185.0 lbs,183,183,"Curitiba, Parana, Brazil","Curitiba, Parana, Brazil",2 Wins,"February 26, 2022",Teixeira MMA & Fitness,18,5,0,0,/fightcenter/fighters/70129-wellington-turman-fofo
71,33061867175597111588198124117515987987,14031,Misha Cirkunov,Cirkunov,Misha,N/A,1987-02-27,,Middleweight,185.5 lbs,191,196,"Riga, Latvia","Toronto, Ontario",3 Losses,"February 26, 2022",Xtreme Couture Toronto,15,8,0,0,/fightcenter/fighters/14031-misha-cirkunov
72,8702079941459971024531676166081347394,128371,Priscila Cachoeira,Cachoeira,Priscila,Zombie Girl,1988-08-19,,Flyweight,125.0 lbs,170,165,"Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro, Rio de Janeiro, Brazil",1 Win,"February 26, 2022",,11,4,0,0,/fightcenter/fighters/128371-priscila-cachoeira
73,225446045338425322554457951726448658485,56388,"김지연, Kim Ji Yeon",Kim Ji Yeon,"김지연,",Fire Fist,1989-10-18,,Flyweight,126.0 lbs,170,183,South Korea,"Las Vegas, Nevada",3 Losses,"February 26, 2022",,9,5,2,0,/fightcenter/fighters/56388-ji-yun-kim
74,249246142064943905332573057797746994161,198212,Armen Petrosyan,Petrosyan,Armen,Superman,1990-11-03,,Middleweight,186.0 lbs,189,180,"Krasnoyarsk, Russia","Yerevan, Armenia",3 Wins,"February 26, 2022",Academy MMA,7,1,0,0,/fightcenter/fighters/198212-armen-petrosyan
75,338350684905919870673915220091704614294,78681,Gregory Rodrigues,Rodrigues,Gregory,Robocop,1992-02-17,,Middleweight,185.5 lbs,191,193,"Manaus, Amazonas, Brazil","Deerfield Beach, Florida",1 Win,"June 18, 2022",,12,4,0,0,/fightcenter/fighters/78681-gregory-rodrigues-robocop
76,276228814963722968824240497703799624109,105800,Ignacio Bahamondes,Bahamondes,Ignacio,La Jaula,1997-08-27,,Lightweight,154.5 lbs,191,192,"Santiago, Chile","Chicago, Illinois",2 Wins,"February 26, 2022",VFS Academy,13,4,0,0,/fightcenter/fighters/105800-ignacio-carabantes
77,75959136232080529984912248032495887700,129248,"茸主, Rong Zhu",Rong Zhu,"茸主,",N/A,2000-03-07,,Lightweight,160.0 lbs,175,180,Tibet,"Aba, Sichuan, China",1 Loss,"February 26, 2022",Enbo Fight Club,21,5,0,0,/fightcenter/fighters/129248-zhu-rong
78,221919193017709236015501741406530813978,61258,Josiane Nunes,Nunes,Josiane,Josi,1993-12-23,,Featherweight,145.5 lbs,157,170,Brazil,"Fazenda Rio Grande, Parana, Brazil",8 Wins,"February 26, 2022",Striker's House,9,1,0,0,/fightcenter/fighters/61258-josiane-nunes
79,152595650384209777032137086107445949594,138183,黃大菁,,黃大菁,N/A,1988-09-23,,Featherweight,145.0 lbs,170,168,Hong Kong,Hong Kong,2 Losses,"June 11, 2022",Syndicate MMA,6,4,0,0,/fightcenter/fighters/138183-ramona-pascual
80,67105031834127803363604793115318487843,126382,Terrance McKinney,McKinney,Terrance,T.Wrecks,1994-09-15,,Lightweight,156.0 lbs,178,188,"Chicago, Illinois, United States","Spokane, Washington, United States",1 Loss,"March 12, 2022",Warriorcamp MMA,12,4,0,0,/fightcenter/fighters/126382-terrance-mckinney
81,157232155913079500736438820076372724872,119061,Fares Ziam,Ziam,Fares,Smile Killer,1997-03-21,,Lightweight,155.0 lbs,185,191,France,France,1 Loss,"February 26, 2022",,12,4,0,0,/fightcenter/fighters/119061-fares-ziam
82,113070957065414035269198952375988854874,41237,Jonathan Martinez,Martinez,Jonathan,Dragon,1994-04-20,,Bantamweight,135.5 lbs,173,177,"Los Angeles, California","Plainview, Texas",3 Wins,"May 21, 2022",Different Breed MMA,16,4,0,0,/fightcenter/fighters/41237-jonathon-martinez
83,2613877312287339236777396864902735252,2598,Alejandro Perez,Perez,Alejandro,Turbo,1989-09-02,,Featherweight,144.5 lbs,168,170,"Aguascalientes, Mexico","Aguascalientes, Mexico",1 Loss,"February 26, 2022",Entram Gym,22,9,1,0,/fightcenter/fighters/2598-alejandro-perez
84,302477903228538982658469246261412195372,129794,Ramiz Brahimaj,Brahimaj,Ramiz,N/A,1992-11-17,,Welterweight,170.5 lbs,178,185,United States,"Bronx, New York",1 Win,"February 26, 2022",Fortis MMA,10,4,0,0,/fightcenter/fighters/129794-ramiz-brahimaj
85,160872812916055368786796402090073522440,86130,Micheal Gillmore,Gillmore,Micheal,The Gentleman,1987-03-28,,Welterweight,170.5 lbs,180,183,United States,Michigan,3 Losses,"February 26, 2022",Murcielago MMA,6,5,0,0,/fightcenter/fighters/86130-mike-gillmore
86,312551305293584113661161629348037618071,60838,Carlos Hernandez,Hernandez,Carlos,N/A,1993-10-25,,Flyweight,125.0 lbs,173,170,Illinois,Illinois,8 Wins,"February 26, 2022",VFS Academy,8,1,0,0,/fightcenter/fighters/60838-carlos-hernandez
87,259295140961912297864710002560607549805,101415,Victor Altamirano,Altamirano,Victor,El Magnifico,1991-01-23,,Flyweight,123.0 lbs,173,179,"Mexico City, Mexico",Texas,1 Loss,"February 26, 2022",,10,2,0,0,/fightcenter/fighters/101415-victor-altamirano
88,96948913891812594861838754960535650534,1425,Calvin Kattar,Kattar,Calvin,The Boston Finisher,1988-03-26,,Featherweight,146.0 lbs,180,183,"Lawrence, Massachusetts","Methuen, Massachusetts",1 Loss,"June 18, 2022",,23,6,0,0,/fightcenter/fighters/calvin-kattar-the-boston-finisher
89,117540127890731263864188787387595025141,121253,Giga Chikadze,Chikadze,Giga,Ninja,1988-08-25,,Featherweight,146.0 lbs,183,188,"Tbilisi, Georgia","Huntington Beach, California",1 Loss,"January 15, 2022",Kings MMA,14,3,0,0,/fightcenter/fighters/121253-giga-chikadze
90,165831624522509712281979714341823866064,17087,Rodney Collier,Collier,Rodney,The Prototype,1988-10-23,,Heavyweight,265.0 lbs,191,199,"St. Louis, Missouri, United States","Cuba, Missouri",1 Loss,"April 30, 2022",,13,7,0,0,/fightcenter/fighters/17087-jake-collier
91,267506100604694780583969878933757713060,55773,Jonathan Chase Sherman,Chase Sherman,Jonathan,The Vanilla Gorilla,1989-11-16,,Heavyweight,247.0 lbs,193,198,"D'Iberville, Mississippi, United States","D'Iberville, Mississippi, United States",4 Losses,"April 30, 2022","American Top Team D’Iberville, MS",15,10,0,0,/fightcenter/fighters/55773-chase-sherman
92,309408750082030050392962739826214695786,25031,Brandon Royval,Royval,Brandon,Raw Dawg,1992-08-16,,Flyweight,125.5 lbs,175,179,"Denver, Colorado","Littleton, Colorado",2 Wins,"May 07, 2022",factoryX Muay Thai,14,6,0,0,/fightcenter/fighters/25031-brandon-royval
